,S1,S1_conf
"(0, 1)",-0.27079836773550603,0.560454379101052
"(0, 2)",-0.2773182115966632,0.4014367702646796
"(0, 3)",-0.3333828759698753,0.4701634122449605
"(0, 4)",-0.35447025418776684,0.5606468078441117
"(0, 5)",0.06845918872386043,0.20659897917103237
"(1, -5)",-0.17051967241314134,0.33616014184051113
"(1, -4)",-0.2866685670941029,0.32235898423880205
"(1, -3)",-0.38607057977266823,0.4445633747244866
"(1, -2)",-0.2234541264462229,0.43792121681092894
"(1, -1)",-0.5359188805235416,0.47807098288571753
"(1, 0)",-0.23280879033489432,0.4980052633902712
"(1, 1)",-0.11999231680442889,0.7734618770378334
"(1, 2)",-0.3228423964465832,0.45658275914835794
"(1, 3)",-0.15078544947346942,0.5464065515098286
"(1, 4)",-0.2422692440703586,0.42710561621844506
"(1, 5)",-0.2695860452495143,0.47797642073167984
"(2, -5)",-0.02465045209667035,0.20312963951230942
"(2, -4)",-0.24746414051317,0.3240464627402603
"(2, -3)",-0.3219650201676495,0.4953304724167875
"(2, -2)",-0.3106333688528203,0.4170660177807899
"(2, -1)",-0.10187931047596209,0.3390420362557507
"(2, 0)",-0.5605272019414795,0.46260969010655784
"(2, 1)",-0.4216610574018857,0.513997961798398
"(2, 2)",0.07938757789604509,0.08858496724923108
"(2, 3)",-0.5627900378549291,0.5268183283040149
"(2, 4)",-0.18842829958810037,0.4866617605102857
"(2, 5)",-0.34879631783882936,0.43144490269376234
"(3, -5)",-0.3358588440550469,0.6141679664684876
"(3, -4)",-0.10363749369225782,0.5687271923428494
"(3, -3)",-0.2882924184188068,0.5071808043134957
"(3, -2)",-0.4841104156849549,0.39923882160999674
"(3, -1)",-0.6192711579175841,0.5623387976400308
"(3, 0)",-0.3891649118950987,0.516423279095958
"(3, 1)",-0.2995042323750146,0.5283110574581986
"(3, 2)",-0.4112320035955293,0.5082439530446607
"(3, 3)",-0.3429805212431877,0.4299403460692031
"(3, 4)",-0.3694667034317014,0.7234904283541154
"(3, 5)",-0.07294233955036969,0.3482977408035226
"(4, -5)",-0.08342948232074318,0.5876268148643974
"(4, -4)",-0.005303219004979283,0.4118019181662391
"(4, -3)",-0.056081234729359726,0.38911173757215306
"(4, -2)",0.27574961962810446,0.4251376224410939
"(4, -1)",-0.18218266520059467,0.6040581405356981
"(4, 0)",-0.46289037635182234,0.3947436427719318
"(4, 1)",-0.21968303088856822,0.3791195158928471
"(4, 2)",-0.2900788814963826,0.3886832043001718
"(4, 3)",-0.46647540978656066,0.466551464098261
"(4, 4)",-0.03462633477898278,0.44695951149958796
"(4, 5)",0.12742981938469963,0.08632099208118107
