,S2,S2_conf
"('(0, 1)', '(0, 2)')",0.13851061567024162,0.8302244580911865
"('(0, 1)', '(0, 3)')",0.09302946275300145,0.7370351572342725
"('(0, 1)', '(0, 4)')",0.267520226390727,0.780379759347096
"('(0, 1)', '(0, 5)')",-0.032636868773416455,0.4103184275102525
"('(0, 1)', '(1, -5)')",0.011307406969650671,0.6744340364326514
"('(0, 1)', '(1, -4)')",0.17696212854096713,0.5934926525453653
"('(0, 1)', '(1, -3)')",0.325891973074527,0.7943456298980301
"('(0, 1)', '(1, -2)')",0.0791353396038887,0.6596492801985145
"('(0, 1)', '(1, -1)')",0.3240097556766909,0.8920228041436656
"('(0, 1)', '(1, 0)')",0.17713789425499105,0.8553717128665834
"('(0, 1)', '(1, 1)')",0.1405081662703563,0.9292914592958265
"('(0, 1)', '(1, 2)')",0.1561557820230935,0.7170526043988235
"('(0, 1)', '(1, 3)')",0.1262180024141223,0.9252939675321502
"('(0, 1)', '(1, 4)')",0.1598569541469171,0.7409671499594972
"('(0, 1)', '(1, 5)')",0.31972655530068206,0.8257959118984335
"('(0, 1)', '(2, -5)')",0.049848587554538276,0.47113984906495243
"('(0, 1)', '(2, -4)')",0.15797294052734828,0.6480366738927803
"('(0, 1)', '(2, -3)')",0.1328276832644292,0.7195615514721528
"('(0, 1)', '(2, -2)')",0.28195204057299916,0.7893342560667003
"('(0, 1)', '(2, -1)')",0.058554009391327384,0.8358855397098862
"('(0, 1)', '(2, 0)')",0.2903589609467298,0.8651102663211535
"('(0, 1)', '(2, 1)')",0.23903304105108347,0.7868631958814696
"('(0, 1)', '(2, 2)')",-0.10602907697613308,0.5369302964863071
"('(0, 1)', '(2, 3)')",0.3565279760751315,0.798949663507212
"('(0, 1)', '(2, 4)')",0.20864516844365644,0.7416251286095612
"('(0, 1)', '(2, 5)')",0.10007595878180975,0.7571158660524931
"('(0, 1)', '(3, -5)')",0.2071850794966076,0.7830702717505531
"('(0, 1)', '(3, -4)')",0.13044704174389676,0.7296877613854577
"('(0, 1)', '(3, -3)')",0.2644932697967586,0.8331998076007773
"('(0, 1)', '(3, -2)')",0.21700373355632008,0.7411244945219031
"('(0, 1)', '(3, -1)')",0.37634626400622445,0.8396450903993217
"('(0, 1)', '(3, 0)')",0.30682099885007974,0.8669900466183333
"('(0, 1)', '(3, 1)')",0.29374108656507136,0.756701569648828
"('(0, 1)', '(3, 2)')",0.26567954228614166,0.8118923746556717
"('(0, 1)', '(3, 3)')",0.20150413546249638,0.8062060547350858
"('(0, 1)', '(3, 4)')",0.270633038975833,0.9229875375372616
"('(0, 1)', '(3, 5)')",0.1409104728978181,0.63023940534553
"('(0, 1)', '(4, -5)')",0.10326374582880833,0.8109023900124765
"('(0, 1)', '(4, -4)')",0.15332910481386905,0.6628220442431901
"('(0, 1)', '(4, -3)')",0.01816772502942336,0.41350593997710633
"('(0, 1)', '(4, -2)')",-0.14314778588186838,0.721375705793882
"('(0, 1)', '(4, -1)')",0.24426179787434488,0.8737581683500092
"('(0, 1)', '(4, 0)')",0.2693566287166684,0.7270474624271218
"('(0, 1)', '(4, 1)')",0.14526795541079462,0.5821588773681067
"('(0, 1)', '(4, 2)')",0.19318951072760904,0.7383992036986368
"('(0, 1)', '(4, 3)')",0.3279478563146336,0.7933748545472469
"('(0, 1)', '(4, 4)')",0.11402915367279988,0.674127694192454
"('(0, 1)', '(4, 5)')",-0.0896340022371309,0.5572903762620789
"('(0, 2)', '(0, 3)')",0.21278452741908263,0.4992594269052839
"('(0, 2)', '(0, 4)')",0.31095850804036107,0.381077806310634
"('(0, 2)', '(0, 5)')",0.29010343688261997,0.2779175409280219
"('(0, 2)', '(1, -5)')",0.31225647691093383,0.462795576731531
"('(0, 2)', '(1, -4)')",0.2511805964206232,0.309448774779235
"('(0, 2)', '(1, -3)')",0.2506117762373941,0.4365352961666024
"('(0, 2)', '(1, -2)')",0.2811816406029026,0.37729348425745635
"('(0, 2)', '(1, -1)')",0.367308496814583,0.3754891027840432
"('(0, 2)', '(1, 0)')",0.2676603890213046,0.4521531056230192
"('(0, 2)', '(1, 1)')",0.2786142392112826,0.4662547606241879
"('(0, 2)', '(1, 2)')",0.18537602213774984,0.4249349343731581
"('(0, 2)', '(1, 3)')",0.36735363698009355,0.5450996948604769
"('(0, 2)', '(1, 4)')",0.3342194427408104,0.3821081470175544
"('(0, 2)', '(1, 5)')",0.2792132881769166,0.41684080675465185
"('(0, 2)', '(2, -5)')",0.23504167914443297,0.24941615993544522
"('(0, 2)', '(2, -4)')",0.21789221363506991,0.3695915760607522
"('(0, 2)', '(2, -3)')",0.3038634825701708,0.4936497215153524
"('(0, 2)', '(2, -2)')",0.3000726585033071,0.3682988899915313
"('(0, 2)', '(2, -1)')",0.42077980860498077,0.6417651480771311
"('(0, 2)', '(2, 0)')",0.3408317033008317,0.5357630928734992
"('(0, 2)', '(2, 1)')",0.3515462936291369,0.4195609633752871
"('(0, 2)', '(2, 2)')",0.3388392183159693,0.5280619237616847
"('(0, 2)', '(2, 3)')",0.3078673640486296,0.469238306651969
"('(0, 2)', '(2, 4)')",0.32340332426720286,0.3963840365397522
"('(0, 2)', '(2, 5)')",0.42235666600579247,0.5728667550054835
"('(0, 2)', '(3, -5)')",0.26398918365861423,0.3847228514439201
"('(0, 2)', '(3, -4)')",0.29512784034409567,0.3437650222059515
"('(0, 2)', '(3, -3)')",0.36108965836706564,0.36548030105971335
"('(0, 2)', '(3, -2)')",0.3150345543087598,0.40658824438539337
"('(0, 2)', '(3, -1)')",0.36239414477601267,0.4418663305900495
"('(0, 2)', '(3, 0)')",0.2814475488080678,0.4282483644925856
"('(0, 2)', '(3, 1)')",0.28318666175737384,0.4063658333699129
"('(0, 2)', '(3, 2)')",0.23265905638922169,0.448737715951925
"('(0, 2)', '(3, 3)')",0.31441542627811386,0.47376895083471665
"('(0, 2)', '(3, 4)')",0.23390220329289999,0.4699043572969895
"('(0, 2)', '(3, 5)')",0.26179690079492257,0.2832846277766715
"('(0, 2)', '(4, -5)')",0.3064389049282524,0.38948223442932517
"('(0, 2)', '(4, -4)')",0.18785390843837488,0.4389329133708376
"('(0, 2)', '(4, -3)')",0.19450262182705264,0.312600198536742
"('(0, 2)', '(4, -2)')",0.2929105461106065,0.5849687549811676
"('(0, 2)', '(4, -1)')",0.344825485012744,0.40873740701628786
"('(0, 2)', '(4, 0)')",0.30362451873322704,0.3582460768643181
"('(0, 2)', '(4, 1)')",0.22038284092251362,0.3472077737976635
"('(0, 2)', '(4, 2)')",0.3268324276866815,0.37188745525530775
