,S2,S2_conf
"('C(0, 1)', 'C(0, 2)')",-0.13154043983288174,0.673336363939106
"('C(0, 1)', 'C(0, 3)')",-0.30896400654789485,0.4401009452283466
"('C(0, 1)', 'C(1, -3)')",-0.20287018043392824,0.6712338657407824
"('C(0, 1)', 'C(1, -2)')",-0.31947616645609145,0.4795669759573057
"('C(0, 1)', 'C(1, -1)')",-0.3155928986876292,0.6399138017566822
"('C(0, 1)', 'C(1, 0)')",-0.5179588353746305,0.6933992626921126
"('C(0, 1)', 'C(1, 1)')",-0.26536706916724145,0.5861074463830713
"('C(0, 1)', 'C(1, 2)')",-0.29689196093561643,0.4018567975732267
"('C(0, 1)', 'C(1, 3)')",-0.10162789052276613,0.6215867501685963
"('C(0, 1)', 'C(2, -3)')",-0.3264685874183429,0.5423567109632353
"('C(0, 1)', 'C(2, -2)')",0.019996042099193184,0.6316473834543648
"('C(0, 1)', 'C(2, -1)')",-0.11355796868965073,0.5868008369684101
"('C(0, 1)', 'C(2, 0)')",0.029883892853650534,0.6222238535203617
"('C(0, 1)', 'C(2, 1)')",-0.5262664212560919,0.5739666073154143
"('C(0, 1)', 'C(2, 2)')",-0.4366379771811902,0.5307024050961018
"('C(0, 1)', 'C(2, 3)')",-0.14902456579110196,0.6954741680574591
"('C(0, 1)', 'C(3, -3)')",-0.13217244449753107,0.6084746581647772
"('C(0, 1)', 'C(3, -2)')",-0.41605923167876646,0.4908223341497124
"('C(0, 1)', 'C(3, -1)')",-0.40994526576500795,0.5513147924623418
"('C(0, 1)', 'C(3, 0)')",-0.6524764683218081,1.409688011155009
"('C(0, 1)', 'C(3, 1)')",-0.3110585235681951,0.6115450498844063
"('C(0, 1)', 'C(3, 2)')",-0.32019293414400274,0.8095956887714585
"('C(0, 1)', 'C(3, 3)')",-0.5295551658936002,0.35593974021909636
"('C(0, 1)', 'C(4, -3)')",-0.07516097184441567,0.42457391484744983
"('C(0, 1)', 'C(4, -2)')",-0.1748162848659262,0.5174820845899454
"('C(0, 1)', 'C(4, -1)')",-0.4389016867005935,0.6350403574898449
"('C(0, 1)', 'C(4, 0)')",0.2195986255422322,0.8864290355645793
"('C(0, 1)', 'C(4, 1)')",-0.08012296881224343,0.8331335169751063
"('C(0, 1)', 'C(4, 2)')",-0.20528176662472536,0.42404022655360196
"('C(0, 1)', 'C(4, 3)')",-0.2739825900396215,0.5742260143080391
"('C(0, 2)', 'C(0, 3)')",-0.15563150056358915,0.46540826470790125
"('C(0, 2)', 'C(1, -3)')",0.16916116235276063,0.5617310027260902
"('C(0, 2)', 'C(1, -2)')",-0.1441120365444229,0.5402800654462773
"('C(0, 2)', 'C(1, -1)')",-0.38938154919046875,0.5466393297741705
"('C(0, 2)', 'C(1, 0)')",-0.17019780360100303,0.437391658531892
"('C(0, 2)', 'C(1, 1)')",-0.16234725026786204,0.4918769510103865
"('C(0, 2)', 'C(1, 2)')",-0.16603287320813348,0.42676193620771813
"('C(0, 2)', 'C(1, 3)')",0.14319649011463323,0.5326877179913917
"('C(0, 2)', 'C(2, -3)')",-0.0891162124265814,0.5427962229687853
"('C(0, 2)', 'C(2, -2)')",-0.2544589640784,0.5957155154545287
"('C(0, 2)', 'C(2, -1)')",0.018204912469035675,0.5821214957634094
"('C(0, 2)', 'C(2, 0)')",0.28227302088486544,0.610351301936454
"('C(0, 2)', 'C(2, 1)')",-0.31752065293617093,0.5011933216346853
"('C(0, 2)', 'C(2, 2)')",-0.4631214387146968,0.4683852358452059
"('C(0, 2)', 'C(2, 3)')",0.3917858325716951,0.6807827134386387
"('C(0, 2)', 'C(3, -3)')",0.37187627512852717,0.5111385700340066
"('C(0, 2)', 'C(3, -2)')",-0.025470337068153284,0.49467307555930345
"('C(0, 2)', 'C(3, -1)')",-0.16539569000048793,0.522121703212057
"('C(0, 2)', 'C(3, 0)')",-0.5866202619059641,1.137822130328287
"('C(0, 2)', 'C(3, 1)')",-0.3350705539516858,0.6290405461699549
"('C(0, 2)', 'C(3, 2)')",-0.13797480121435313,0.8571446932377182
"('C(0, 2)', 'C(3, 3)')",-0.2929841843691381,0.5199420749560459
"('C(0, 2)', 'C(4, -3)')",0.1883153849253013,0.44642591262105225
"('C(0, 2)', 'C(4, -2)')",0.026708069107175967,0.5058872979963943
"('C(0, 2)', 'C(4, -1)')",-0.4343465880854441,0.803228470690114
"('C(0, 2)', 'C(4, 0)')",0.38087628606633694,0.7152773031300433
"('C(0, 2)', 'C(4, 1)')",0.2362995268414485,0.7397181704511323
"('C(0, 2)', 'C(4, 2)')",0.12858135670639143,0.5062194664279335
"('C(0, 2)', 'C(4, 3)')",0.1651651044457782,0.5082783311893494
"('C(0, 3)', 'C(1, -3)')",-0.16900321462467122,0.45789940494775094
"('C(0, 3)', 'C(1, -2)')",-0.5787899170210713,0.6438330383809879
"('C(0, 3)', 'C(1, -1)')",-0.5415171311517956,0.5094858283820501
"('C(0, 3)', 'C(1, 0)')",-0.3326700133680184,0.4080351994623193
"('C(0, 3)', 'C(1, 1)')",-0.39198535604558793,0.4810174183426663
"('C(0, 3)', 'C(1, 2)')",-0.3226223974686118,0.4030217127565098
"('C(0, 3)', 'C(1, 3)')",-0.24475661071676605,0.5120649941963786
"('C(0, 3)', 'C(2, -3)')",-0.16116938552690507,0.5098279203177342
"('C(0, 3)', 'C(2, -2)')",-0.3237600607212583,0.5472677345082463
"('C(0, 3)', 'C(2, -1)')",-0.07606255753408861,0.6838296217899525
"('C(0, 3)', 'C(2, 0)')",0.07429881625141246,0.5364230368320526
"('C(0, 3)', 'C(2, 1)')",-0.48721813051638163,0.45065475997581494
"('C(0, 3)', 'C(2, 2)')",-0.5014991634372865,0.5162536549570215
"('C(0, 3)', 'C(2, 3)')",-0.16353325559811643,0.42406295151276285
"('C(0, 3)', 'C(3, -3)')",0.022182666658558503,0.40648511588686753
"('C(0, 3)', 'C(3, -2)')",-0.26102603724049944,0.375229909680566
"('C(0, 3)', 'C(3, -1)')",-0.5538247293533654,0.4876974291675728
"('C(0, 3)', 'C(3, 0)')",-0.1583474900718294,0.6140845311017344
"('C(0, 3)', 'C(3, 1)')",-0.34867664621473904,0.6564634252688586
"('C(0, 3)', 'C(3, 2)')",-0.38082044475841187,0.6877222163958515
"('C(0, 3)', 'C(3, 3)')",-0.3149076919000047,0.5404013852177145
"('C(0, 3)', 'C(4, -3)')",-0.12911101922152574,0.46826337273344165
"('C(0, 3)', 'C(4, -2)')",-0.2468544228998404,0.391641097726675
"('C(0, 3)', 'C(4, -1)')",-0.6628461079630519,0.7036643594724444
"('C(0, 3)', 'C(4, 0)')",-0.06977835942943147,0.440387705335785
"('C(0, 3)', 'C(4, 1)')",-0.16162773673955283,0.4736005054907405
"('C(0, 3)', 'C(4, 2)')",-0.1494998249975666,0.4681674863592845
"('C(0, 3)', 'C(4, 3)')",-0.23458532572001753,0.4229186601543433
"('C(1, -3)', 'C(1, -2)')",-0.28071441099494115,0.5769550194259879
"('C(1, -3)', 'C(1, -1)')",-0.396803725293135,0.5709174327062692
"('C(1, -3)', 'C(1, 0)')",-0.26340505673039843,0.4340517524596489
"('C(1, -3)', 'C(1, 1)')",-0.22313633507705266,0.5385801225523489
"('C(1, -3)', 'C(1, 2)')",-0.22646818642506433,0.4223141944727981
"('C(1, -3)', 'C(1, 3)')",-0.15354295051757846,0.5567871813451177
"('C(1, -3)', 'C(2, -3)')",-0.1783129596772345,0.4790706274363364
"('C(1, -3)', 'C(2, -2)')",-0.21453915541454838,0.4944511125814645
"('C(1, -3)', 'C(2, -1)')",-0.0945685495447594,0.4858392103806069
"('C(1, -3)', 'C(2, 0)')",0.13203854461251008,0.3759852741778677
"('C(1, -3)', 'C(2, 1)')",-0.48799628439292186,0.5099781771331516
"('C(1, -3)', 'C(2, 2)')",-0.42749250593524973,0.5567884849499831
"('C(1, -3)', 'C(2, 3)')",0.011835885031972887,0.4491343014149334
