,S2,S2_conf
"('C(0, 1)', 'C(0, 2)')",0.2720086832752405,0.34323106685687155
"('C(0, 1)', 'C(0, 3)')",0.23186634205994094,0.32010793742557125
"('C(0, 1)', 'C(1, -3)')",0.22913613652920445,0.3392783756393351
"('C(0, 1)', 'C(1, -2)')",0.16985957097403426,0.3065165374253813
"('C(0, 1)', 'C(1, -1)')",0.2292848643878325,0.32088859063390546
"('C(0, 1)', 'C(1, 0)')",0.30331798081961486,0.2604569933891847
"('C(0, 1)', 'C(1, 1)')",0.12898764281956848,0.33279266012962955
"('C(0, 1)', 'C(1, 2)')",0.19006617044311647,0.30148331889171637
"('C(0, 1)', 'C(1, 3)')",0.26845105470287167,0.3515753743370751
"('C(0, 1)', 'C(2, -3)')",0.20180288953895772,0.40131010118102467
"('C(0, 1)', 'C(2, -2)')",0.09024381492986756,0.35168111411736336
"('C(0, 1)', 'C(2, -1)')",0.1669456782997478,0.27650945362906043
"('C(0, 1)', 'C(2, 0)')",0.29984918136796035,0.31712933283535427
"('C(0, 1)', 'C(2, 1)')",0.2625710761751534,0.29610937808620075
"('C(0, 1)', 'C(2, 2)')",0.2915167349769302,0.42529533377824547
"('C(0, 1)', 'C(2, 3)')",0.21094200734412435,0.28440914412837887
"('C(0, 1)', 'C(3, -3)')",0.26173961150842134,0.29680330485054973
"('C(0, 1)', 'C(3, -2)')",0.24458835197734896,0.29262409845191684
"('C(0, 1)', 'C(3, -1)')",0.28134719923236073,0.36924590686573383
"('C(0, 1)', 'C(3, 0)')",0.2673703079393455,0.2946288291374471
"('C(0, 1)', 'C(3, 1)')",0.22349448942100258,0.29168048489203685
"('C(0, 1)', 'C(3, 2)')",0.25259377345411066,0.3276344820674383
"('C(0, 1)', 'C(3, 3)')",0.1759550839810321,0.3607764343065451
"('C(0, 1)', 'C(4, -3)')",0.19435008778696686,0.22120698950107123
"('C(0, 1)', 'C(4, -2)')",0.20365579053113028,0.2944420243398006
"('C(0, 1)', 'C(4, -1)')",0.2583455725409982,0.32417518865011213
"('C(0, 1)', 'C(4, 0)')",0.35375667455523957,0.3137944030560433
"('C(0, 1)', 'C(4, 1)')",0.17982344771437786,0.2990766838564889
"('C(0, 1)', 'C(4, 2)')",0.2727072338935158,0.346105930829724
"('C(0, 1)', 'C(4, 3)')",0.2798750352719774,0.33263570077520344
"('C(0, 2)', 'C(0, 3)')",0.4009817971151498,0.38565153092102694
"('C(0, 2)', 'C(1, -3)')",0.28984395115007777,0.4448824819592513
"('C(0, 2)', 'C(1, -2)')",0.30366362633169564,0.3752260981139673
"('C(0, 2)', 'C(1, -1)')",0.310096138186961,0.361134621532722
