,ST,ST_conf
"(0, 1)",0.16326931821104235,0.1551113056475422
"(0, 2)",0.07188112861511826,0.09036526078341417
"(0, 3)",0.2262502994127354,0.49127481401277595
"(0, 4)",0.07192393025862097,0.05610323034059201
"(0, 5)",0.028367492329089822,0.012321304910478737
"(1, -5)",0.10471619434559387,0.18934337547006827
"(1, -4)",0.07882850822903568,0.10381247191299935
"(1, -3)",0.11270904374012604,0.08832669526376867
"(1, -2)",0.046639394417280766,0.06071341842513162
"(1, -1)",0.15769621589624572,0.12684964758049577
"(1, 0)",0.25017521232353995,0.42235074879380985
"(1, 1)",0.5924237679240838,1.1768384884069767
"(1, 2)",0.13290995267656144,0.16480732585758504
"(1, 3)",0.22405411213783463,0.3498161356271721
"(1, 4)",0.06695372595032884,0.06266469645483956
"(1, 5)",0.133793827466968,0.12196927607657558
"(2, -5)",0.013972450207671787,0.020363859897481056
"(2, -4)",0.05896426021862071,0.04304010689000319
"(2, -3)",0.08095165975540979,0.09394863102272552
"(2, -2)",0.07926017669765424,0.06688342152691311
"(2, -1)",0.10934781147834538,0.19193322774152752
"(2, 0)",0.18597171313258432,0.14505872980240525
"(2, 1)",0.07590409498219668,0.06814968139149434
"(2, 2)",0.055816563175384616,0.09985351979931782
"(2, 3)",0.16073159814406943,0.10197976694287737
"(2, 4)",0.047276349114478096,0.030413566076522174
"(2, 5)",0.1034027777302828,0.19645814386980603
"(3, -5)",0.0911302865258817,0.050566847780598376
"(3, -4)",0.09788979780030757,0.10141399610400693
"(3, -3)",0.08310261025452789,0.0665394060351423
"(3, -2)",0.06596869469919564,0.057831370842178535
"(3, -1)",0.14121246364860168,0.12944817337503395
"(3, 0)",0.15809334053596616,0.13683050201458685
"(3, 1)",0.1034707330950111,0.07473257467651591
"(3, 2)",0.13522840320948656,0.061869426688146656
"(3, 3)",0.10630518775669293,0.13719099704531168
"(3, 4)",0.2625845355846451,0.30570920499664683
"(3, 5)",0.050907915317055324,0.05646837495421114
"(4, -5)",0.19521948695011263,0.380838270663485
"(4, -4)",0.18826768770399877,0.418741608572526
"(4, -3)",0.09333357995639825,0.14161202687649438
"(4, -2)",0.31874160884577346,0.6602692780788112
"(4, -1)",0.13325296330285433,0.08571685101253197
"(4, 0)",0.08778267902268197,0.09097570068043925
"(4, 1)",0.04404172123154591,0.05199286419660183
"(4, 2)",0.1486013422545391,0.1782952656954827
"(4, 3)",0.11303228849936414,0.1108591864737424
"(4, 4)",0.11239082430912367,0.190321722801736
"(4, 5)",0.04951792163847383,0.12430729517286745
